track_id,pair_id,s3_url,http_url,is_parent
tracks/avicii-wake_me_up_brofists_n_bass-beats_remix_preview-0frohdwl,avicii-wake_me_up_brofists_n_bass-beats_remix_preview-0frohdwl__blackwhite-wake_me_up_feat_avicii,s3://lucas-audiotool-tracks/mp3/b2/29/avicii-wake_me_up_brofists_n_bass-beats_remix_preview-0frohdwl.b22982b7.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/b2/29/avicii-wake_me_up_brofists_n_bass-beats_remix_preview-0frohdwl.b22982b7.mp3,True
tracks/blackwhite-wake_me_up_feat_avicii,avicii-wake_me_up_brofists_n_bass-beats_remix_preview-0frohdwl__blackwhite-wake_me_up_feat_avicii,s3://lucas-audiotool-tracks/mp3/b3/ac/blackwhite-wake_me_up_feat_avicii.b3ac5a7e.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/b3/ac/blackwhite-wake_me_up_feat_avicii.b3ac5a7e.mp3,False
tracks/a_lot_on_my_mind_drake_type-beat,a_lot_on_my_mind_drake_type-beat__a_lot_on_my_mind_drake_type-beat_flashproductions,s3://lucas-audiotool-tracks/mp3/29/13/a_lot_on_my_mind_drake_type-beat.2913549c.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/29/13/a_lot_on_my_mind_drake_type-beat.2913549c.mp3,True
tracks/a_lot_on_my_mind_drake_type-beat_flashproductions,a_lot_on_my_mind_drake_type-beat__a_lot_on_my_mind_drake_type-beat_flashproductions,s3://lucas-audiotool-tracks/mp3/f9/e0/a_lot_on_my_mind_drake_type-beat_flashproductions.f9e05ec7.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/f9/e0/a_lot_on_my_mind_drake_type-beat_flashproductions.f9e05ec7.mp3,False
tracks/9hkdjvf1sd,9hkdjvf1sd__cnbtksfkme,s3://lucas-audiotool-tracks/mp3/6d/15/9hkdjvf1sd.6d15067f.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/6d/15/9hkdjvf1sd.6d15067f.mp3,True
tracks/cnbtksfkme,9hkdjvf1sd__cnbtksfkme,s3://lucas-audiotool-tracks/mp3/bc/ea/cnbtksfkme.bcea7f87.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/bc/ea/cnbtksfkme.bcea7f87.mp3,False
tracks/400_remix_competition,400_remix_competition__400-6ftw3bruq,s3://lucas-audiotool-tracks/mp3/14/ae/400_remix_competition.14aefe05.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/14/ae/400_remix_competition.14aefe05.mp3,True
tracks/400-6ftw3bruq,400_remix_competition__400-6ftw3bruq,s3://lucas-audiotool-tracks/mp3/f4/e3/400-6ftw3bruq.f4e34a23.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/f4/e3/400-6ftw3bruq.f4e34a23.mp3,False
tracks/bedford_falls,bedford_falls__bedford_falls_-_tic_edit,s3://lucas-audiotool-tracks/mp3/3c/52/bedford_falls.3c52783a.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/3c/52/bedford_falls.3c52783a.mp3,True
tracks/bedford_falls_-_tic_edit,bedford_falls__bedford_falls_-_tic_edit,s3://lucas-audiotool-tracks/mp3/c7/34/bedford_falls_-_tic_edit.c734b047.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/c7/34/bedford_falls_-_tic_edit.c734b047.mp3,False
tracks/batmans_trap,batmans_trap__v1gzn7q1o9xu,s3://lucas-audiotool-tracks/mp3/d1/02/batmans_trap.d102c6ef.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/d1/02/batmans_trap.d102c6ef.mp3,True
tracks/v1gzn7q1o9xu,batmans_trap__v1gzn7q1o9xu,s3://lucas-audiotool-tracks/mp3/04/2d/v1gzn7q1o9xu.042db849.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/04/2d/v1gzn7q1o9xu.042db849.mp3,False
tracks/0fvkye2yk0,0fvkye2yk0__85f04sjoolt,s3://lucas-audiotool-tracks/mp3/58/56/0fvkye2yk0.585637ce.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/58/56/0fvkye2yk0.585637ce.mp3,True
tracks/85f04sjoolt,0fvkye2yk0__85f04sjoolt,s3://lucas-audiotool-tracks/mp3/ea/90/85f04sjoolt.ea904b1c.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/ea/90/85f04sjoolt.ea904b1c.mp3,False
