track_id,pair_id,s3_url,http_url,is_parent,song_quantile
tracks/blue_blood,top_1_percent__blue_blood,s3://lucas-audiotool-tracks/mp3/dd/bf/blue_blood.ddbf83c1.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/dd/bf/blue_blood.ddbf83c1.mp3,True,top 1%
tracks/awake-ip6y2,top_1_percent__awake-ip6y2,s3://lucas-audiotool-tracks/mp3/08/a1/awake-ip6y2.08a1f719.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/08/a1/awake-ip6y2.08a1f719.mp3,True,top 1%
tracks/7_shots,top_1_percent__7_shots,s3://lucas-audiotool-tracks/mp3/b2/e6/7_shots.b2e69ccb.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/b2/e6/7_shots.b2e69ccb.mp3,True,top 1%
tracks/yhjz30ph,top_1_percent__yhjz30ph,s3://lucas-audiotool-tracks/mp3/22/74/yhjz30ph.2274dfa7.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/22/74/yhjz30ph.2274dfa7.mp3,True,top 1%
tracks/4erixtz0,top_1_percent__4erixtz0,s3://lucas-audiotool-tracks/mp3/e9/f4/4erixtz0.e9f4f679.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/e9/f4/4erixtz0.e9f4f679.mp3,True,top 1%
tracks/time_traveler-9j5unr,top_1_percent__time_traveler-9j5unr,s3://lucas-audiotool-tracks/mp3/fc/93/time_traveler-9j5unr.fc93c18f.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/fc/93/time_traveler-9j5unr.fc93c18f.mp3,True,top 1%
tracks/d_m,top_1_percent__d_m,s3://lucas-audiotool-tracks/mp3/93/f5/d_m.93f59fcf.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/93/f5/d_m.93f59fcf.mp3,True,top 1%
tracks/the_music_goes_on_my_head,top_1_percent__the_music_goes_on_my_head,s3://lucas-audiotool-tracks/mp3/19/cd/the_music_goes_on_my_head.19cd9f28.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/19/cd/the_music_goes_on_my_head.19cd9f28.mp3,True,top 1%
tracks/all_night-lom1b,top_1_percent__all_night-lom1b,s3://lucas-audiotool-tracks/mp3/0c/16/all_night-lom1b.0c16fe2b.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/0c/16/all_night-lom1b.0c16fe2b.mp3,True,top 1%
tracks/the_twilight_zone_abaddon_back_to_the_crypte_mix,top_1_percent__the_twilight_zone_abaddon_back_to_the_crypte_mix,s3://lucas-audiotool-tracks/mp3/fb/74/the_twilight_zone_abaddon_back_to_the_crypte_mix.fb742f0a.mp3,https://lucas-audiotool-tracks.s3.amazonaws.com/mp3/fb/74/the_twilight_zone_abaddon_back_to_the_crypte_mix.fb742f0a.mp3,True,top 1%
